SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
407021156,Penola,Moderate,Low,shap_irsd_score,0.009700612345352,IRSD (Disadvantage),0.009700612345352,3,4
407021157,Tatiara,Moderate,Low,shap_irsd_score,-0.0204287080173662,IRSD (Disadvantage),0.0204287080173662,3,4
407021158,Wattle Range,Moderate,Low,shap_irsd_score,-0.0120281997339478,IRSD (Disadvantage),0.0120281997339478,3,4
407021173,Mount Gambier - East,Moderate,Low,shap_irsd_score,-0.0106029313657575,IRSD (Disadvantage),0.0106029313657575,3,4
407021174,Mount Gambier - West,High,Low,shap_irsd_score,-0.0251454928791771,IRSD (Disadvantage),0.0251454928791771,2,4
407031159,Barmera,High,Low,shap_irsd_score,-0.0365132974090836,IRSD (Disadvantage),0.0365132974090836,2,4
407031160,Berri,Critical,Moderate,shap_irsd_score,0.1202443525483903,IRSD (Disadvantage),0.1202443525483903,1,3
407031161,Karoonda - Lameroo,High,Low,shap_irsd_score,-0.021137730676702,IRSD (Disadvantage),0.021137730676702,2,4
407031162,Loxton,High,Low,shap_irsd_score,-0.0196684331754432,IRSD (Disadvantage),0.0196684331754432,2,4
407031163,Loxton Surrounds,Moderate,Low,shap_irsd_score,-0.0160359260678394,IRSD (Disadvantage),0.0160359260678394,3,4
407031164,Mannum,Critical,Moderate,shap_irsd_score,0.0887907304926754,IRSD (Disadvantage),0.0887907304926754,1,3
407031165,Murray Bridge,High,Moderate,shap_irsd_score,0.0295206917881912,IRSD (Disadvantage),0.0295206917881912,2,3
407031166,Murray Bridge Surrounds,Moderate,Low,shap_irsd_score,-0.0153232521335462,IRSD (Disadvantage),0.0153232521335462,3,4
407031167,Renmark,Critical,Moderate,shap_irsd_score,0.1285178124465605,IRSD (Disadvantage),0.1285178124465605,1,3
407031168,Renmark Surrounds,Moderate,Low,shap_irsd_score,-0.0176542590808125,IRSD (Disadvantage),0.0176542590808125,3,4
407031169,The Coorong,High,Moderate,shap_irsd_score,-0.0210047108290635,IRSD (Disadvantage),0.0210047108290635,2,3
407031170,Waikerie,Critical,Moderate,shap_irsd_score,0.1040293051511088,IRSD (Disadvantage),0.1040293051511088,1,3
401011001,Adelaide,Moderate,Low,shap_irsad_score,-0.0881116021518874,IRSAD (Adv & Disadv),0.0881116021518874,3,4
401011002,North Adelaide,Low,Low,shap_irsad_score,-0.0736864691364791,IRSAD (Adv & Disadv),0.0736864691364791,4,4
401021003,Adelaide Hills,Low,Low,shap_irsad_score,-0.0687444699781499,IRSAD (Adv & Disadv),0.0687444699781499,4,4
401021004,Aldgate - Stirling,Low,Low,shap_irsad_score,-0.060979005947921,IRSAD (Adv & Disadv),0.060979005947921,4,4
401021005,Hahndorf - Echunga,Low,Low,shap_irsad_score,-0.074876460331013,IRSAD (Adv & Disadv),0.074876460331013,4,4
401021006,Lobethal - Woodside,Moderate,Low,shap_irsad_score,-0.0682677280560735,IRSAD (Adv & Disadv),0.0682677280560735,3,4
401021007,Mount Barker,Moderate,Low,shap_irsad_score,-0.063108420792662,IRSAD (Adv & Disadv),0.063108420792662,3,4
401021008,Mount Barker Surrounds,Low,Low,shap_irsad_score,-0.0707777318259946,IRSAD (Adv & Disadv),0.0707777318259946,4,4
401021009,Nairne,Low,Low,shap_irsad_score,-0.0724854230849818,IRSAD (Adv & Disadv),0.0724854230849818,4,4
401021010,Uraidla - Summertown,Low,Low,shap_irsad_score,-0.0672133057119317,IRSAD (Adv & Disadv),0.0672133057119317,4,4
401031011,Burnside - Wattle Park,Low,Low,shap_irsad_score,-0.0590542928700061,IRSAD (Adv & Disadv),0.0590542928700061,4,4
401031012,Beaumont - Glen Osmond,Low,Low,shap_irsad_score,-0.0721079274775723,IRSAD (Adv & Disadv),0.0721079274775723,4,4
401031013,Toorak Gardens,Low,Low,shap_irsad_score,-0.0553295009905297,IRSAD (Adv & Disadv),0.0553295009905297,4,4
401041014,Athelstone,Low,Low,shap_irsad_score,-0.0630075937468165,IRSAD (Adv & Disadv),0.0630075937468165,4,4
401041015,Paradise - Newton,Moderate,Low,shap_irsad_score,-0.0683094949611967,IRSAD (Adv & Disadv),0.0683094949611967,3,4
401041016,Rostrevor - Magill,Moderate,Low,shap_irsad_score,-0.0743891821365741,IRSAD (Adv & Disadv),0.0743891821365741,3,4
401051017,Norwood (SA),Moderate,Low,shap_irsad_score,-0.0804836867004772,IRSAD (Adv & Disadv),0.0804836867004772,3,4
401051018,Payneham - Felixstow,Moderate,Low,shap_irsad_score,-0.0850556058876609,IRSAD (Adv & Disadv),0.0850556058876609,3,4
401051019,St Peters - Marden,Low,Low,shap_irsad_score,-0.0601133982443504,IRSAD (Adv & Disadv),0.0601133982443504,4,4
401061020,Nailsworth - Broadview,Low,Low,shap_irsad_score,-0.0605079999009317,IRSAD (Adv & Disadv),0.0605079999009317,4,4
401061021,Prospect,Low,Low,shap_irsad_score,-0.0592324714905739,IRSAD (Adv & Disadv),0.0592324714905739,4,4
401061022,Walkerville,Low,Low,shap_irsad_score,-0.0613058089962254,IRSAD (Adv & Disadv),0.0613058089962254,4,4
401071023,Goodwood - Millswood,Low,Low,shap_irsad_score,-0.0546062583969065,IRSAD (Adv & Disadv),0.0546062583969065,4,4
401071024,Unley - Parkside,Low,Low,shap_irsad_score,-0.0537544257681847,IRSAD (Adv & Disadv),0.0537544257681847,4,4
402011025,Gawler - North,Low,Low,shap_irsad_score,-0.081056847072532,IRSAD (Adv & Disadv),0.081056847072532,4,4
402011026,Gawler - South,Moderate,Low,shap_irsad_score,-0.0460985918600641,IRSAD (Adv & Disadv),0.0460985918600641,3,4
402011027,Lewiston - Two Wells,Low,Low,shap_irsad_score,-0.0330430319472889,IRSAD (Adv & Disadv),0.0330430319472889,4,4
402021028,Craigmore - Blakeview,Moderate,Low,shap_irsad_score,0.0230356598083229,IRSAD (Adv & Disadv),0.0230356598083229,3,4
402021029,Davoren Park,Moderate,Low,shap_irsad_score,-0.0137954163549036,IRSAD (Adv & Disadv),0.0137954163549036,3,4
